type,name,dashboard_element,url,space_name,parent_space_name,space_url,parent_space_url,errors
look,avg time to first booking,,https://hipcamp.looker.com/looks/19,Shared,,https://hipcamp.looker.com/spaces/1,,"[{'message': 'Unknown field ""user_facts.avg_booking_time"".', 'field_name': 'user_facts.avg_booking_time', 'explore_name': 'bookings', 'model_name': 'production', 'removable': True}]"
look,Bookings at camp pre-marketable,,https://hipcamp.looker.com/looks/118,Alex Johnson,Users,https://hipcamp.looker.com/spaces/4,https://hipcamp.looker.com/spaces/2,"[{'message': 'Unknown field ""hipbook_settings.went_marketable_at_date"".', 'field_name': 'hipbook_settings.went_marketable_at_date', 'explore_name': 'days', 'model_name': 'production', 'removable': True}]"
look,Site Type // Conversion,,https://hipcamp.looker.com/looks/1389,Market Analysis,Markets + Supply,https://hipcamp.looker.com/spaces/110,https://hipcamp.looker.com/spaces/51,"[{'message': 'Unknown field ""campground_accommodation_facts.site_type"".', 'field_name': 'campground_accommodation_facts.site_type', 'explore_name': 'parks', 'model_name': 'production', 'removable': True}]"
look,Site Type // Bookings,,https://hipcamp.looker.com/looks/1390,Market Analysis,Markets + Supply,https://hipcamp.looker.com/spaces/110,https://hipcamp.looker.com/spaces/51,"[{'message': 'Unknown field ""campground_accommodation_facts.site_type"".', 'field_name': 'campground_accommodation_facts.site_type', 'explore_name': 'parks', 'model_name': 'production', 'removable': True}]"
look,Site Type // Campgrounds Count,,https://hipcamp.looker.com/looks/1391,Market Analysis,Markets + Supply,https://hipcamp.looker.com/spaces/110,https://hipcamp.looker.com/spaces/51,"[{'message': 'Unknown field ""campground_accommodation_facts.site_type"".', 'field_name': 'campground_accommodation_facts.site_type', 'explore_name': 'parks', 'model_name': 'production', 'removable': True}]"
dashboard,Public Land Occupancy,Occupancy // March to July,https://hipcamp.looker.com/dashboards/153,Patrick Carolan,Users,https://hipcamp.looker.com/spaces/58,https://hipcamp.looker.com/spaces/2,"[{'message': 'Unknown field ""site_nights"".', 'field_name': 'site_nights', 'explore_name': 'parks', 'model_name': 'production', 'removable': False}]"
look,Declined RTBs with denial message,,https://hipcamp.looker.com/looks/640,Users,,https://hipcamp.looker.com/spaces/2,,"[{'message': 'Unknown field ""users_new.email"".', 'field_name': 'users_new.email', 'explore_name': 'booking_requests', 'model_name': 'production', 'removable': True}]"
look,Declined RTBs with denial message,,https://hipcamp.looker.com/looks/954,Host Success,Shared,https://hipcamp.looker.com/spaces/77,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""users_new.email"".', 'field_name': 'users_new.email', 'explore_name': 'booking_requests', 'model_name': 'production', 'removable': True}, {'message': 'Unknown field ""users_new.user_conversation_url"".', 'field_name': 'users_new.user_conversation_url', 'explore_name': 'booking_requests', 'model_name': 'production', 'removable': True}]"
look,Declined RTBs with denial message - test 4 sheets,,https://hipcamp.looker.com/looks/1050,Host Success,Shared,https://hipcamp.looker.com/spaces/77,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""users_new.email"".', 'field_name': 'users_new.email', 'explore_name': 'booking_requests', 'model_name': 'production', 'removable': True}]"
dashboard,Camper Funboarding Data,Campers who filled out funboarding,https://hipcamp.looker.com/dashboards/101,Product,Shared,https://hipcamp.looker.com/spaces/23,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""user_facts.avg_booking_time"".', 'field_name': 'user_facts.avg_booking_time', 'explore_name': 'users', 'model_name': 'production', 'removable': True}]"
dashboard,Booking Invites (In App Invite),Sanity Check,https://hipcamp.looker.com/dashboards/66,Booking Invites,Shared,https://hipcamp.looker.com/spaces/82,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""bookings.is_first_booking"".', 'field_name': 'bookings.is_first_booking', 'explore_name': 'booking_invited_users', 'model_name': 'production', 'removable': True}]"
dashboard,Trip Locations,Average Distance by State,https://hipcamp.looker.com/dashboards/186,Patrick Carolan,Users,https://hipcamp.looker.com/spaces/58,https://hipcamp.looker.com/spaces/2,"[{'message': 'Unknown field ""park_camper_locations.average_distance_between_park_and_camper_last_known_location"".', 'field_name': 'park_camper_locations.average_distance_between_park_and_camper_last_known_location', 'explore_name': 'park_camper_locations', 'model_name': 'production', 'removable': True}]"
dashboard,Trip Locations,In State / Out of State Detail,https://hipcamp.looker.com/dashboards/186,Patrick Carolan,Users,https://hipcamp.looker.com/spaces/58,https://hipcamp.looker.com/spaces/2,"[{'message': 'Unknown field ""park_camper_locations.camper_state_id"".', 'field_name': 'park_camper_locations.camper_state_id', 'explore_name': 'park_camper_locations', 'model_name': 'production', 'removable': True}]"
dashboard,Trip Locations,In State / Out of State,https://hipcamp.looker.com/dashboards/186,Patrick Carolan,Users,https://hipcamp.looker.com/spaces/58,https://hipcamp.looker.com/spaces/2,"[{'message': 'Unknown field ""park_camper_locations.camper_state_id"".', 'field_name': 'park_camper_locations.camper_state_id', 'explore_name': 'park_camper_locations', 'model_name': 'production', 'removable': True}]"
look,Conversions by Original Referrer and Original landing page,,https://hipcamp.looker.com/looks/1047,Conversions,Shared,https://hipcamp.looker.com/spaces/63,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""original_referrer_event.referrer_domain"".', 'field_name': 'original_referrer_event.referrer_domain', 'explore_name': 'session_facts', 'model_name': 'analytics', 'removable': True}, {'message': 'Unknown field ""original_referrer_event.path"".', 'field_name': 'original_referrer_event.path', 'explore_name': 'session_facts', 'model_name': 'analytics', 'removable': True}]"
dashboard,Nights Outside,Nights Outside (Created),https://hipcamp.looker.com/dashboards/72,Conversions,Shared,https://hipcamp.looker.com/spaces/63,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""bookings.live_bookings"".', 'field_name': 'bookings.live_bookings', 'explore_name': 'session_facts', 'model_name': 'analytics', 'removable': True}, {'message': 'Unknown field ""bookings.sum_live_nights"".', 'field_name': 'bookings.sum_live_nights', 'explore_name': 'session_facts', 'model_name': 'analytics', 'removable': True}]"
dashboard,Nights Outside,Nights Outside (End),https://hipcamp.looker.com/dashboards/72,Conversions,Shared,https://hipcamp.looker.com/spaces/63,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""bookings.live_bookings"".', 'field_name': 'bookings.live_bookings', 'explore_name': 'session_facts', 'model_name': 'analytics', 'removable': True}, {'message': 'Unknown field ""bookings.sum_live_nights"".', 'field_name': 'bookings.sum_live_nights', 'explore_name': 'session_facts', 'model_name': 'analytics', 'removable': True}]"
dashboard,Nights Outside,Nights Outside Created >> Nights Outside End Map,https://hipcamp.looker.com/dashboards/72,Conversions,Shared,https://hipcamp.looker.com/spaces/63,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""bookings.live_bookings"".', 'field_name': 'bookings.live_bookings', 'explore_name': 'session_facts', 'model_name': 'analytics', 'removable': True}, {'message': 'Unknown field ""bookings.sum_live_nights"".', 'field_name': 'bookings.sum_live_nights', 'explore_name': 'session_facts', 'model_name': 'analytics', 'removable': True}]"
dashboard,Nights Outside,Nights Outside (End) YOY,https://hipcamp.looker.com/dashboards/72,Conversions,Shared,https://hipcamp.looker.com/spaces/63,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""bookings.live_bookings"".', 'field_name': 'bookings.live_bookings', 'explore_name': 'session_facts', 'model_name': 'analytics', 'removable': True}, {'message': 'Unknown field ""bookings.sum_live_nights"".', 'field_name': 'bookings.sum_live_nights', 'explore_name': 'session_facts', 'model_name': 'analytics', 'removable': True}]"
look,The Chart - Supply Demand Conversion Grid,,https://hipcamp.looker.com/looks/1136,Markets + Supply,Shared,https://hipcamp.looker.com/spaces/51,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown explore ""markets"".', 'explore_name': 'markets', 'model_name': 'analytics'}]"
look,Onboarding Funnel,,https://hipcamp.looker.com/looks/787,Onboarding,Shared,https://hipcamp.looker.com/spaces/70,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown explore ""markets"".', 'explore_name': 'markets', 'model_name': 'analytics'}]"
look,Host Onboarding Funnel,,https://hipcamp.looker.com/looks/1158,Patrick Carolan,Users,https://hipcamp.looker.com/spaces/58,https://hipcamp.looker.com/spaces/2,"[{'message': 'Unknown explore ""markets"".', 'explore_name': 'markets', 'model_name': 'analytics'}]"
look,Top 20 Demand Constrained Markets,,https://hipcamp.looker.com/looks/1224,Market Prioritizations,Markets + Supply,https://hipcamp.looker.com/spaces/105,https://hipcamp.looker.com/spaces/51,"[{'message': 'Unknown explore ""markets"".', 'explore_name': 'markets', 'model_name': 'analytics'}]"
dashboard,Host Onboarding,% Completed by Listing Started Cohort (last 12 months),https://hipcamp.looker.com/dashboards/73,Onboarding,Shared,https://hipcamp.looker.com/spaces/70,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown explore ""markets"".', 'explore_name': 'markets', 'model_name': 'analytics'}]"
dashboard,Host Onboarding,# Completed by Listing Started Cohort (last 12 months),https://hipcamp.looker.com/dashboards/73,Onboarding,Shared,https://hipcamp.looker.com/spaces/70,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown explore ""markets"".', 'explore_name': 'markets', 'model_name': 'analytics'}]"
dashboard,Host Onboarding,Onboarding Funnel (Last 30 Days),https://hipcamp.looker.com/dashboards/73,Onboarding,Shared,https://hipcamp.looker.com/spaces/70,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown explore ""markets"".', 'explore_name': 'markets', 'model_name': 'analytics'}]"
dashboard,Host Onboarding,Average # Days to Activation,https://hipcamp.looker.com/dashboards/73,Onboarding,Shared,https://hipcamp.looker.com/spaces/70,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown explore ""markets"".', 'explore_name': 'markets', 'model_name': 'analytics'}]"
dashboard,Host Onboarding,Average Days to Activate by Market (Last 30 Days),https://hipcamp.looker.com/dashboards/73,Onboarding,Shared,https://hipcamp.looker.com/spaces/70,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown explore ""markets"".', 'explore_name': 'markets', 'model_name': 'analytics'}]"
dashboard,Markets + Supply,New Tile,https://hipcamp.looker.com/dashboards/33,Markets + Supply,Shared,https://hipcamp.looker.com/spaces/51,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown explore ""markets"".', 'explore_name': 'markets', 'model_name': 'analytics'}]"
look,# of hosts Activated in the Last 30 Days,,https://hipcamp.looker.com/looks/1382,Fall 2018,Sales and Supply,https://hipcamp.looker.com/spaces/152,https://hipcamp.looker.com/spaces/100,"[{'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}]"
dashboard,OLD [DO NOT USE] Sales Team Metrics,% of hosts that received a booking,https://hipcamp.looker.com/dashboards/106,Sales and Supply,Shared,https://hipcamp.looker.com/spaces/100,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}]"
dashboard,OLD [DO NOT USE] Sales Team Metrics,% of hosts that received a booking (copy),https://hipcamp.looker.com/dashboards/106,Sales and Supply,Shared,https://hipcamp.looker.com/spaces/100,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}]"
dashboard,OLD [DO NOT USE] Sales Team Metrics,% of hosts that received a booking (copy 2),https://hipcamp.looker.com/dashboards/106,Sales and Supply,Shared,https://hipcamp.looker.com/spaces/100,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}]"
dashboard,OLD [DO NOT USE] Sales Team Metrics,% of hosts that received a booking (All),https://hipcamp.looker.com/dashboards/106,Sales and Supply,Shared,https://hipcamp.looker.com/spaces/100,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}]"
dashboard,2018 Fall Supply Goals,New Tile,https://hipcamp.looker.com/dashboards/110,Fall 2018,Sales and Supply,https://hipcamp.looker.com/spaces/152,https://hipcamp.looker.com/spaces/100,"[{'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}]"
dashboard,2018 Fall Supply Goals,New Tile,https://hipcamp.looker.com/dashboards/110,Fall 2018,Sales and Supply,https://hipcamp.looker.com/spaces/152,https://hipcamp.looker.com/spaces/100,"[{'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}]"
dashboard,2018 Fall Supply Goals,% of Hosts Activated in the Last 30 days With a Booking (Taylor),https://hipcamp.looker.com/dashboards/110,Fall 2018,Sales and Supply,https://hipcamp.looker.com/spaces/152,https://hipcamp.looker.com/spaces/100,"[{'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}]"
dashboard,2018 Fall Supply Goals,% of Hosts Activated in the Last 30 days With a Booking (Christina),https://hipcamp.looker.com/dashboards/110,Fall 2018,Sales and Supply,https://hipcamp.looker.com/spaces/152,https://hipcamp.looker.com/spaces/100,"[{'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}]"
dashboard,2018 Fall Supply Goals,New Tile,https://hipcamp.looker.com/dashboards/110,Fall 2018,Sales and Supply,https://hipcamp.looker.com/spaces/152,https://hipcamp.looker.com/spaces/100,"[{'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}]"
dashboard,2018 Fall Supply Goals,New Tile,https://hipcamp.looker.com/dashboards/110,Fall 2018,Sales and Supply,https://hipcamp.looker.com/spaces/152,https://hipcamp.looker.com/spaces/100,"[{'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}]"
dashboard,2018 Fall Supply Goals,# of hosts Activated in the Last 30 Days (Taylor),https://hipcamp.looker.com/dashboards/110,Fall 2018,Sales and Supply,https://hipcamp.looker.com/spaces/152,https://hipcamp.looker.com/spaces/100,"[{'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}]"
dashboard,2018 Fall Supply Goals,# of hosts Activated in the Last 30 Days (Christina),https://hipcamp.looker.com/dashboards/110,Fall 2018,Sales and Supply,https://hipcamp.looker.com/spaces/152,https://hipcamp.looker.com/spaces/100,"[{'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}]"
dashboard,OLD [DO NOT USE] Sales Team Metrics,Hosts that Activated,https://hipcamp.looker.com/dashboards/106,Sales and Supply,Shared,https://hipcamp.looker.com/spaces/100,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""park_settings.went_live_at_month"".', 'field_name': 'park_settings.went_live_at_month', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}, {'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'dashboard_filter_name': 'Date', 'removable': True}]"
dashboard,OLD [DO NOT USE] Sales Team Metrics,Hosts that Activated,https://hipcamp.looker.com/dashboards/106,Sales and Supply,Shared,https://hipcamp.looker.com/spaces/100,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""park_settings.went_live_at_month"".', 'field_name': 'park_settings.went_live_at_month', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}, {'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'dashboard_filter_name': 'Date', 'removable': True}]"
dashboard,OLD [DO NOT USE] Sales Team Metrics,Hosts that Activated,https://hipcamp.looker.com/dashboards/106,Sales and Supply,Shared,https://hipcamp.looker.com/spaces/100,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""park_settings.went_live_at_month"".', 'field_name': 'park_settings.went_live_at_month', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}, {'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'dashboard_filter_name': 'Date', 'removable': True}]"
